Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Giannis Antetokounmpo,SF,MIL,@ LAC,20th,117.00,12000,40.6,80.9,59.7,7.4,1.88,67.72,11.72,11.52,10.58,33.7,17.3,31.7,32.50,57.84,57.84,100,,81,4.8,Y,36,79.70,6.6
James Harden,SG,HOU,vs GSW,5th,122.50,11500,38.1,86.9,52.5,7.4,1.50,53.74,11.54,13.94,11.46,40.9,24.0,35.1,35.75,58.97,58.97,100,,73,5.1,Y,35,73.30,6.4
Andre Drummond,C,DET,vs NYK,16th,104.50,11400,25.3,81.8,57.2,2.6,1.58,56.99,11.82,16.14,11.98,26.5,15.6,36.1,36.50,49.47,49.47,100,,72,4.3,Y,35,50.90,4.5
Karl-Anthony Towns,C,MIN,@ MEM,26th,113.75,11100,19.3,94.1,58.1,4.0,1.86,66.87,24.52,21.36,22.82,27.6,17.0,31.3,33.50,51.36,51.36,100,,63,4.6,Y,34,46.60,4.2
Luka Doncic,PG,DAL,vs ORL,26th,106.75,11000,22.1,69.2,53.7,9.5,1.50,54.15,12.03,13.45,11.28,30.8,18.7,35.7,33.75,42.28,42.28,100,,75,3.8,Y,37,39.90,3.6
Kawhi Leonard,SF,LAC,vs MIL,13th,111.00,10700,0,16.4,53.6,5.7,1.76,63.30,7.04,8.18,0,40.0,22.5,30.5,0.00,0.00,0.00,100,,85,0,,,,
Joel Embiid,C,PHI,@ UTA,27th,103.50,10400,32.4,77.5,47.1,3.3,1.86,66.88,4.76,12.87,4.46,33.4,15.7,25.3,33.75,51.72,51.72,100,,73,5,Y,36,53.70,5.2
Russell Westbrook,PG,HOU,vs GSW,7th,122.50,10300,35.3,81.1,50.1,9.2,1.51,54.33,11.27,13.09,10.96,28.6,17.0,33.2,35.00,54.90,54.90,100,,74,5.3,Y,30,39.60,3.8
Trae Young,PG,ATL,vs CHI,6th,111.25,9700,9.5,74.2,44.1,8.4,1.49,53.61,11.57,18.48,10.36,36.3,18.8,29.6,32.25,37.22,37.22,100,,58,3.8,Y,29,13.10,1.4
Paul George,SF,LAC,vs MIL,13th,111.00,9600,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Malcolm Brogdon,PG,IND,vs WAS,28th,114.75,9000,23.7,47.4,45.8,9.4,1.33,47.86,8.02,6.77,7.63,27.6,16.7,34.4,34.25,33.90,33.90,100,,85,3.8,Y,35,36.10,4
Pascal Siakam,SF,TOR,vs SAC,9th,113.50,9000,17.9,59.4,40.5,3.3,1.22,43.78,10.87,11.87,10.42,31.5,19.8,33.3,34.50,35.69,35.69,100,,71,4,Y,37,49.10,5.5
Stephen Curry,PG,GSW,@ HOU,18th,106.50,9000,0,20.6,37.5,6.5,1.34,48.21,10.10,10.29,0,31.1,16.5,28.0,0.00,0.00,0.00,100,,73,0,,,,
D'Angelo Russell,SG,GSW,@ HOU,18th,106.50,9000,0,26.2,31.7,6.4,1.04,37.56,12.32,13.11,0,27.5,16.6,30.4,0.00,0.00,0.00,100,,59,0,,,,
Bradley Beal,SG,WAS,@ IND,12th,111.75,8900,21,68.9,43.1,6.3,1.26,45.41,10.08,13.68,9.66,34.6,21.3,34.2,34.50,41.52,41.52,100,,68,4.7,Y,41,40.50,4.6
Domantas Sabonis,PF,IND,vs WAS,13th,114.75,8900,29.1,59,39.8,2.6,1.10,39.56,7.68,8.52,7.25,23.6,15.8,36.2,34.00,41.91,41.91,100,,79,4.7,Y,28,48.90,5.5
Blake Griffin,PF,DET,vs NYK,15th,104.50,8800,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Ben Simmons,PG,PHI,@ UTA,5th,103.50,8800,35.1,55.4,41.1,7.7,1.16,41.65,6.60,5.79,6.83,21.4,12.8,35.5,37.25,43.82,43.82,100,,86,5,Y,10,9.20,1
Kyle Lowry,PG,TOR,vs SAC,13th,113.50,8700,30.7,45,41.4,6.8,1.07,38.39,4.13,4.10,4.16,23.5,15.5,38.8,36.25,36.80,36.80,100,,90,4.2,Y,40,35.40,4.1
Nikola Vucevic,C,ORL,@ DAL,5th,100.75,8600,31.5,56.7,34.7,2.3,1.12,40.31,6.18,7.20,5.45,25.3,15.4,31.0,31.75,42.29,42.29,100,,79,4.9,Y,33,46.70,5.4
Kristaps Porzingis,PF,DAL,vs ORL,20th,106.75,8500,24.5,60.8,40.2,2.2,1.25,45.01,12.39,10.37,11.01,27.8,16.7,32.2,32.00,40.06,40.06,100,,74,4.7,Y,34,19.10,2.2
Donovan Mitchell,SG,UTA,vs PHI,24th,105.50,8400,20.3,54.3,41.3,3.3,1.22,43.91,8.57,9.71,7.74,29.7,18.1,33.9,32.50,34.85,34.85,100,,76,4.1,Y,35,41.00,4.9
John Collins,PF,ATL,vs CHI,17th,111.25,8300,0,13.6,37.6,1.6,1.17,41.99,5.95,6.78,0,19.9,12.2,32.2,0.00,0.00,0.00,100,,82,0,,,,
De'Aaron Fox,PG,SAC,@ TOR,17th,105.50,8300,22.8,62.5,32.1,6.3,1.00,36.00,8.72,11.32,8.54,28.2,14.6,32.1,35.25,39.81,39.81,100,,65,4.8,Y,34,37.90,4.6
Rudy Gobert,C,UTA,vs PHI,6th,105.50,8200,26.5,57,29.3,0.9,0.87,31.24,7.05,8.73,6.27,15.1,6.0,33.7,32.00,39.57,39.57,100,,70,4.8,Y,36,49.70,6.1
