Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Los Angeles Rams,7,D,5000,LAR,@WAS,19.0,LAR by 7,3.3,1.3,0.8,210,92,19.8,8.0,7.3,6.5,6.5,3.2,9.8,9.7,1.9,12.0,2.4
Baltimore Ravens,7,D,4900,BAL,CIN,19.0,BAL by 13,3.8,0.5,0.5,254,111,24.8,6.3,9.3,10.8,10.8,5.8,15.7,9.7,2.0,26.0,5.3
New England Patriots,3,D,4800,NE,DEN,,,3.3,0.5,1.5,214,93,20.5,10.5,8.3,9.0,9.0,4.0,14.0,0.0,0.0,0.0,0.0
San Francisco 49ers,0,D,4600,SF,MIA,20.3,SF by 9,1.5,0.0,1.3,240,107,23.3,4.5,7.7,6.8,6.8,3.2,10.3,8.6,1.9,-2.0,-0.4
Indianapolis Colts,0,D,4500,IND,@CLE,22.3,IND by 1.5,1.5,0.5,0.5,183,205,31.0,3.0,16.0,13.0,13.0,3.2,22.8,6.9,1.5,11.0,2.4
Pittsburgh Steelers,7,D,4400,PIT,PHI,18.3,PIT by 7,3.5,0.5,1.8,208,112,19.5,8.8,9.3,9.3,9.3,6.1,12.5,10.3,2.3,8.0,1.8
Kansas City Chiefs,2,D,4300,KC,LV,21.5,KC by 13,1.8,1.5,0.0,261,115,27.8,6.0,10.7,9.8,9.8,2.9,16.6,7.7,1.8,-1.0,-0.2
Arizona Cardinals,3,D,4200,ARI,@NYJ,19.8,ARI by 7,3.0,0.3,1.0,180,99,14.8,11.3,4.7,5.0,5.0,1.6,8.4,8.4,2.0,7.0,1.7
Philadelphia Eagles,,D,4000,PHI,@PIT,25.3,PIT by 7,1.7,0.7,0.3,242,140,26.0,3.3,9.0,7.5,7.5,-0.1,15.1,5.4,1.4,-1.0,-0.3
Denver Broncos,0,D,3900,DEN,@NE,,,1.8,0.5,1.3,216,180,22.8,6.8,5.0,4.8,4.8,3.8,5.7,0.0,0.0,0.0,0.0
Cleveland Browns,2,D,3800,CLE,IND,23.8,IND by 1.5,1.0,0.0,0.8,245,115,21.8,3.0,7.7,5.8,5.8,-0.2,11.7,6.3,1.7,13.0,3.4
Washington Redskins,,D,3800,WAS,LAR,26.0,LAR by 7,1.5,0.8,0.5,255,142,26.5,3.8,3.0,6.0,6.0,-0.2,12.2,5.8,1.5,2.0,0.5
Houston Texans,1,D,3700,HOU,JAX,24.0,HOU by 6,3.3,0.3,1.0,263,104,23.8,6.5,2.0,1.5,1.5,0.2,2.8,6.5,1.8,9.0,2.4
Jacksonville Jaguars,0,D,3600,JAX,@HOU,30.0,HOU by 6,4.0,0.5,0.8,254,74,20.0,8.5,0.7,2.0,2.0,-0.8,4.8,5.5,1.5,4.0,1.1
Miami Dolphins,1,D,3600,MIA,@SF,29.3,SF by 9,3.3,0.3,0.8,262,129,26.8,6.5,5.7,5.3,5.3,0.7,9.8,5.2,1.4,12.0,3.3
Carolina Panthers,0,D,3500,CAR,@ATL,27.8,ATL by 1,2.3,0.0,0.5,294,102,25.0,2.8,5.7,4.0,4.0,-1.0,9.0,5.3,1.5,5.0,1.4
Dallas Cowboys,5,D,3500,DAL,NYG,22.3,DAL by 9.5,3.5,0.8,1.3,202,77,11.8,10.8,-1.0,0.3,0.3,-3.1,3.6,7.9,2.3,9.0,2.6
New York Jets,0,D,3400,NYJ,ARI,26.8,ARI by 7,1.8,0.3,1.3,226,145,24.5,4.5,4.0,4.8,4.8,1.2,8.3,5.6,1.6,2.0,0.6
Atlanta Falcons,1,D,3300,ATL,CAR,26.8,ATL by 1,2.0,0.5,0.8,274,116,24.8,4.8,2.7,1.8,1.8,-1.0,4.5,5.8,1.8,0.0,0.0
New York Giants,0,D,3200,NYG,@DAL,31.8,DAL by 9.5,2.3,1.5,0.8,408,102,31.5,5.8,4.0,4.0,4.0,-0.5,8.5,4.1,1.3,11.0,3.4
Cincinnati Bengals,0,D,3100,CIN,@BAL,32.0,BAL by 13,2.8,0.5,0.5,181,160,30.5,3.5,3.3,3.3,3.3,-0.6,7.1,3.1,1.0,3.0,1.0
Las Vegas Raiders,0,D,3000,LV,@KC,34.5,KC by 13,0.8,0.5,0.0,277,129,27.8,3.5,0.7,0.5,0.5,-0.5,1.5,1.8,0.6,4.0,1.3
